id,domainId,label,observationItem,greenSignal,blueSignal,keywords,sourceIds,evidenceLevel
ITEM_001,D01_zielklarheit,Zielrichtung sichtbar,"Die Lernenden können erkennen, worauf die Stunde mathematisch hinausläuft.","Ziel/Kernanliegen strukturiert Aufgaben, Impulse und Sicherung.","Aktivität ist sichtbar, aber die fachliche Zielrichtung bleibt diffus.",ziel; kernanliegen; wozu; roter faden; unklar; nur gerechnet,IBBW_UFB_2024; ROSENSHINE_2012,source_anchored_modelled_item
ITEM_002,D01_zielklarheit,Einstieg trägt fachlich,Der Einstieg aktiviert ein fachliches Problem und nicht nur situative Aufmerksamkeit.,"Der Einstieg eröffnet eine mathematische Frage, die später bearbeitet wird.","Der Einstieg motiviert, bleibt aber dekorativ oder fachlich lose.",einstieg; motivation; kontext; dekorativ; angebunden,IBBW_UFB_2024,source_anchored_modelled_item
ITEM_003,D01_zielklarheit,Kernidee wird wieder aufgegriffen,Die Stunde führt erkennbar auf eine zentrale Einsicht zurück.,Sicherung und Reflexion spiegeln das Kernanliegen.,Einzelaktivitäten bleiben nebeneinander stehen.,kernidee; einsicht; rückbindung; wieder aufgegriffen,IBBW_UFB_2024; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_004,D01_zielklarheit,Transparente Lernhandlung,"Lernende verstehen nicht nur was, sondern auch wozu sie etwas tun.",Handlungsauftrag und fachlicher Sinn sind verbunden.,"Der Auftrag ist handlungspraktisch klar, aber fachlich nicht orientierend.",auftrag; wozu; sinn; was sollen wir machen,ROSENSHINE_2012,source_anchored_modelled_item
ITEM_005,D02_kognitive_aktivierung,Vorwissen wird fachlich aktiviert,"Vorwissen wird nicht nur abgefragt, sondern für neues Denken genutzt.",Schülerideen werden als Ausgangspunkt für fachliche Weiterarbeit genutzt.,"Vorwissen wird abgefragt, aber nicht aufgegriffen.",vorwissen; anknüpfen; erinnern; aktivieren; aufgreifen,CHU_KOGNITIVE_AKTIVIERUNG; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_006,D02_kognitive_aktivierung,Denkentscheidungen statt Abarbeiten,"Aufgaben verlangen Entscheidungen, Begründungen, Vergleiche oder Strategien.",Lernende müssen mathematisch entscheiden und begründen.,"Lernende arbeiten ab, ohne relevante Denkentscheidung.",abarbeiten; strategie; begründen; vergleichen; entscheiden; denken,CHU_KOGNITIVE_AKTIVIERUNG; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_007,D02_kognitive_aktivierung,Lernende erklären eigene Lösungen,Eigene Lösungen und Ideen werden sichtbar gemacht und diskutiert.,"Lernende erklären Denkwege, nicht nur Ergebnisse.","Lösungen werden genannt, aber nicht gedanklich entfaltet.",lösung erklären; denkweg; idee; schüler erklären; ergebnis,CHU_KOGNITIVE_AKTIVIERUNG; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_008,D02_kognitive_aktivierung,Kognitive Aktivierung ist nicht nur Aktivität,Die beobachtete Aktivität führt zu vertiefter Auseinandersetzung mit dem Lerngegenstand.,Beschäftigung ist mit fachlicher Verarbeitung verbunden.,"Die Klasse ist beschäftigt, aber Denkqualität bleibt unklar.",aktiv; beschäftigt; ruhig; denken; vertieft,CHU_KOGNITIVE_AKTIVIERUNG; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_009,D03_diagnose,Verstehensstand wird sichtbar geprüft,Die Lehrkraft gewinnt belastbare Informationen über den aktuellen Verstehensstand.,"Zwischenprodukte, Fragen oder Aufgaben zeigen, was verstanden wurde.",Verstehen wird appellativ abgefragt.,gibt es fragen; verstanden; keine meldung; diagnose; check,BLACK_WILIAM_1998; ROSENSHINE_2012; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_010,D03_diagnose,Fehler werden als Lerninformation genutzt,"Fehler und Irritationen werden aufgegriffen, um Verständnis zu klären.",Fehler dienen als Anlass für fachliche Klärung.,Fehler werden übergangen oder nur korrigiert.,fehler; falsch; missverständnis; irritation; korrigiert,ROSENSHINE_2012; BLACK_WILIAM_1998,source_anchored_modelled_item
ITEM_011,D03_diagnose,Fragen öffnen Diagnose,"Lehrerfragen machen Denkwege sichtbar, statt nur Antworten abzufragen.","Fragen fordern Begründungen, Zwischenschritte oder Alternativen.",Fragen prüfen nur Ja/Nein oder Ergebnisnennung.,frage; warum; wie kommst du; ja nein; melden,BLACK_WILIAM_1998; CHU_KOGNITIVE_AKTIVIERUNG,source_anchored_modelled_item
ITEM_012,D03_diagnose,Diagnose hat Anschluss,"Erhobene Lernstände führen sichtbar zu Anpassung, Klärung oder Vertiefung.",Die Lehrkraft reagiert auf Diagnoseinformationen.,Diagnose bleibt folgenlos.,anschluss; reagiert; passt an; nochmal; klärung,BLACK_WILIAM_1998; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_013,D04_feedback,Feedback ist aufgabe- und prozessbezogen,Rückmeldung hilft fachlich weiter und bleibt nicht nur Lob oder Bewertung.,Feedback benennt Qualität und nächsten Schritt.,"Feedback bleibt allgemein, personenbezogen oder nur bewertend.",gut gemacht; richtig; feedback; nächster schritt; qualität,BLACK_WILIAM_1998; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_014,D04_feedback,Feedbackschleife wird geschlossen,Lernende können Feedback nutzen und sichtbar weiterarbeiten.,Feedback führt zu Überarbeitung oder Verbesserung.,"Feedback wird gegeben, aber nicht genutzt.",überarbeiten; verbessern; nutzen; nochmal; feedbackschleife,BLACK_WILIAM_1998,source_anchored_modelled_item
ITEM_015,D04_feedback,Peerfeedback hat Kriterien,Rückmeldungen unter Lernenden werden durch Kriterien fachlich gestützt.,"Kriterien helfen, mathematische Qualität zu erkennen.",Peerfeedback bleibt geschmacklich oder allgemein.,peerfeedback; kriterien; partner; rückmeldung,BLACK_WILIAM_1998; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_016,D04_feedback,Selbsteinschätzung ist fachlich gerahmt,Lernende schätzen ihren Lernstand anhand fachlicher Kriterien ein.,Selbsteinschätzung bezieht sich auf Können und Verständnis.,Selbsteinschätzung bleibt Stimmungsabfrage.,selbsteinschätzung; ampel; kriterien; kann ich,BLACK_WILIAM_1998,source_anchored_modelled_item
ITEM_017,D05_klassenfuehrung,Arbeitsruhe schützt Lernzeit,"Abläufe, Regeln und Präsenz ermöglichen ungestörte fachliche Arbeit.","Übergänge laufen zügig, Lernzeit bleibt erhalten.",Störungen oder Unklarheiten binden Aufmerksamkeit.,ruhe; störung; übergang; lernzeit; warten,IBBW_UFB_2024,source_anchored_modelled_item
